plotID,plot,size,structure,species,n,k
32MR,32MR-10-04,4,TB-semai,Cariang,4,0
32MR,32MR-10-04,4,TB-semai,Papakuan,4,0
32MR,32MR-10-04,4,TB-semai,Hata,2,0
32MR,32MR-10-04,4,TB-semai,Ipis Kulit,3,0
32MR,32MR-10-04,4,TB-semai,Ki sampang,2,0
32MR,32MR-10-04,4,TB-semai,Peuris,6,0
32MR,32MR-10-04,4,TB-semai,Heucit,3,0
32MR,32MR-10-04,25,Pancang,Ipis Kulit,1,0
32MR,32MR-10-04,25,Pancang,Peuris,3,0
32MR,32MR-10-04,25,Pancang,Burung dahu,1,0
32MR,32MR-10-04,25,Pancang,Ki teja,2,0
32MR,32MR-10-04,100,Tiang,Ki jahe,1,47
32MR,32MR-10-04,100,Tiang,Kanyere,1,39
32MR,32MR-10-04,400,Pohon,Putat,1,88
32MR,32MR-10-04,400,Pohon,Kondang,1,310
32MR,32MR-10-04,400,Pohon,Ki coang,1,65
32MR,32MR-10-04,400,Pohon,Tongtolok,1,82
32MR,32MR-10-04,400,Pohon,Ki jahe,1,70
32MR,32MR-10-05,4,TB-semai,Papakuan,8,0
32MR,32MR-10-05,4,TB-semai,Parasi,3,0
32MR,32MR-10-05,4,TB-semai,Sayar,3,0
32MR,32MR-10-05,4,TB-semai,Peuris,5,0
32MR,32MR-10-05,4,TB-semai,Ki jahe,1,0
32MR,32MR-10-05,4,TB-semai,Sulangkar,2,0
32MR,32MR-10-05,4,TB-semai,Mangga leuweung,1,0
32MR,32MR-10-05,25,Pancang,Songgom,2,0
32MR,32MR-10-05,25,Pancang,Ki teja,1,0
32MR,32MR-10-05,25,Pancang,Burung dahu,1,0
32MR,32MR-10-05,25,Pancang,Ki jahe,1,0
32MR,32MR-10-05,25,Pancang,Ceuri,1,0
32MR,32MR-10-05,100,Tiang,Laban,1,50
32MR,32MR-10-05,400,Pohon,Peuris,1,62
32MR,32MR-10-05,400,Pohon,Kanyere,1,68
32MR,32MR-10-05,400,Pohon,Peuris,1,74
32MR,32MR-10-05,400,Pohon,Angrit,1,62
32MR,32MR-10-05,400,Pohon,Ki hiang,1,160
32MR,32MR-06-01,4,TB-semai,Lolo,1,0
32MR,32MR-06-01,4,TB-semai,Hata,4,0
32MR,32MR-06-01,4,TB-semai,Sayar,2,0
32MR,32MR-06-01,4,TB-semai,Oar,1,0
32MR,32MR-06-01,4,TB-semai,Sulangkar,1,0
32MR,32MR-06-01,4,TB-semai,Sentul,1,0
32MR,32MR-06-01,4,TB-semai,Buluh,2,0
32MR,32MR-06-01,4,TB-semai,Burung dahu,1,0
32MR,32MR-06-01,4,TB-semai,Ki jahe,2,0
32MR,32MR-06-01,25,Pancang,Songgom,5,0
32MR,32MR-06-01,25,Pancang,Peuris,1,0
32MR,32MR-06-01,25,Pancang,Ki puak,1,0
32MR,32MR-06-01,25,Pancang,Ceuri,1,0
32MR,32MR-06-01,100,Tiang,Bungur,1,40
32MR,32MR-06-01,100,Tiang,Heucit,1,32
32MR,32MR-06-01,100,Tiang,Bungur,1,42
32MR,32MR-06-01,400,Pohon,Laban,1,66
32MR,32MR-06-01,400,Pohon,Ki tanjung,1,120
32MR,32MR-06-01,400,Pohon,Hareumeung,1,96
32MR,32MR-06-01,400,Pohon,Sempur,1,113
32MR,32MR-06-01,400,Pohon,Bungur,1,84
32MR,32MR-06-01,400,Pohon,Sempur,1,113
32MR,32MR-06-01,400,Pohon,Gadog,1,64
32MR,32MR-06-02,4,TB-semai,Bingbin,10,0
32MR,32MR-06-02,4,TB-semai,Rotan,3,0
32MR,32MR-06-02,4,TB-semai,Lolo,15,0
32MR,32MR-06-02,4,TB-semai,Hata,3,0
32MR,32MR-06-02,25,Pancang,Calik angin,2,0
32MR,32MR-06-02,25,Pancang,Ki sampang,1,0
32MR,32MR-06-02,25,Pancang,Sulangkar,2,0
32MR,32MR-06-02,25,Pancang,Peuris,3,0
32MR,32MR-06-02,25,Pancang,Ki caang,1,0
32MR,32MR-06-02,25,Pancang,Salam,1,0
32MR,32MR-06-02,25,Pancang,Heucit,2,0
32MR,32MR-06-02,25,Pancang,Ki genteul,1,0
32MR,32MR-06-02,25,Pancang,Songgom,1,0
32MR,32MR-06-02,100,Tiang,Heucit,1,32
32MR,32MR-06-02,100,Tiang,Laban,1,40
32MR,32MR-06-02,100,Tiang,Ki huut,1,42
32MR,32MR-06-02,400,Pohon,Ki jahe,1,71
32MR,32MR-06-02,400,Pohon,Putat,1,362
32MR,32MR-06-02,400,Pohon,Burung dahu,1,70
32MR,32MR-06-02,400,Pohon,Bungur,1,120
32MR,32MR-06-02,400,Pohon,Bungur,1,140
32MR,32MR-06-03,4,TB-semai,Lolo,5,0
32MR,32MR-06-03,4,TB-semai,Canar,1,0
32MR,32MR-06-03,4,TB-semai,Hata,3,0
32MR,32MR-06-03,4,TB-semai,Rotan,1,0
32MR,32MR-06-03,4,TB-semai,Burung dahu,2,0
32MR,32MR-06-03,4,TB-semai,Jaura,5,0
32MR,32MR-06-03,4,TB-semai,Peuris,3,0
32MR,32MR-06-03,4,TB-semai,Ki lilin,2,0
32MR,32MR-06-03,25,Pancang,Heucit,4,0
32MR,32MR-06-03,25,Pancang,Songgom,1,0
32MR,32MR-06-03,25,Pancang,Buluh,1,0
32MR,32MR-06-03,25,Pancang,Ki segel,2,0
32MR,32MR-06-03,100,Tiang,Buluh,1,39
32MR,32MR-06-03,100,Tiang,Heucit,1,31
32MR,32MR-06-03,100,Tiang,Heucit,1,43
32MR,32MR-06-03,100,Tiang,Heucit,1,36
32MR,32MR-06-03,400,Pohon,Bungur,1,96
32MR,32MR-06-03,400,Pohon,Bungur,1,78
32MR,32MR-06-03,400,Pohon,Bungur,1,92
32MR,32MR-06-03,400,Pohon,Laban,1,88
32MR,32MR-06-03,400,Pohon,Laban,1,83
32MR,32MR-06-03,400,Pohon,Laban,1,71
32MR,32MR-06-04,4,TB-semai,Hata,4,0
32MR,32MR-06-04,4,TB-semai,Bangban,3,0
32MR,32MR-06-04,4,TB-semai,Cariang,2,0
32MR,32MR-06-04,4,TB-semai,Hata,2,0
32MR,32MR-06-04,4,TB-semai,Lolo,4,0
32MR,32MR-06-04,4,TB-semai,Jejerukan,5,0
32MR,32MR-06-04,4,TB-semai,Heucit,1,0
32MR,32MR-06-04,4,TB-semai,Burung dahu,2,0
32MR,32MR-06-04,4,TB-semai,Ki jahe,1,0
32MR,32MR-06-04,25,Pancang,Heucit,5,0
32MR,32MR-06-04,25,Pancang,Huru,3,0
32MR,32MR-06-04,25,Pancang,Peuris,2,0
32MR,32MR-06-04,25,Pancang,Pareket,2,0
32MR,32MR-06-04,100,Tiang,Laban,1,57
32MR,32MR-06-04,100,Tiang,Laban,1,56
32MR,32MR-06-04,100,Tiang,Hareumeung,1,45
32MR,32MR-06-04,100,Tiang,Heucit,1,43
32MR,32MR-06-04,400,Pohon,Ki sereh,1,123
32MR,32MR-06-04,400,Pohon,Sempur,1,250
32MR,32MR-06-04,400,Pohon,Bungur,1,125
32MR,32MR-06-04,400,Pohon,Bungur,1,150
32MR,32MR-06-05,4,TB-semai,Lolo,20,0
32MR,32MR-06-05,4,TB-semai,Salak,3,0
32MR,32MR-06-05,4,TB-semai,Cariang,4,0
32MR,32MR-06-05,4,TB-semai,Oar,1,0
32MR,32MR-06-05,4,TB-semai,Huru,5,0
32MR,32MR-06-05,4,TB-semai,Peuris,2,0
32MR,32MR-06-05,4,TB-semai,Ceuri,1,0
32MR,32MR-06-05,25,Pancang,Ki segel,6,0
32MR,32MR-06-05,25,Pancang,Ki calung,1,0
32MR,32MR-06-05,25,Pancang,Songgom,2,0
32MR,32MR-06-05,25,Pancang,Burung dahu,1,0
32MR,32MR-06-05,100,Tiang,Laban,1,50
32MR,32MR-06-05,100,Tiang,Heucit,1,34
32MR,32MR-06-05,100,Tiang,Heucit,1,41
32MR,32MR-06-05,100,Tiang,Heucit,1,40
32MR,32MR-06-05,100,Tiang,Heucit,1,39
32MR,32MR-06-05,100,Tiang,Bungur,1,35
32MR,32MR-06-05,400,Pohon,Kadongdong,1,72
32MR,32MR-06-05,400,Pohon,Kadongdong,1,99
32MR,32MR-06-05,400,Pohon,Ki tanjung,1,84
32MR,32MR-06-05,400,Pohon,Ki sereh,1,256
32MR,32MR-06-05,400,Pohon,Hanja,1,300
32MR,32MR-03-01,4,TB-semai,Rotan,15,0
32MR,32MR-03-01,4,TB-semai,Papakuan,13,0
32MR,32MR-03-01,4,TB-semai,Bungur,1,0
32MR,32MR-03-01,4,TB-semai,Manglid,1,0
32MR,32MR-03-01,4,TB-semai,Ki huut,1,0
32MR,32MR-03-01,4,TB-semai,Tundun sayong,1,0
32MR,32MR-03-01,4,TB-semai,Ki mokla,2,0
32MR,32MR-03-01,4,TB-semai,Malapari,1,0
32MR,32MR-03-01,25,Pancang,Manglid,1,0
32MR,32MR-03-01,25,Pancang,Taritih,1,0
32MR,32MR-03-01,25,Pancang,Ki endog,2,0
32MR,32MR-03-01,25,Pancang,Ki segel,1,0
32MR,32MR-03-01,25,Pancang,Rukem,1,0
32MR,32MR-03-01,100,Tiang,Ki calung,1,32
32MR,32MR-03-01,100,Tiang,Rengas,1,38
32MR,32MR-03-01,100,Tiang,Langkap,1,34
32MR,32MR-03-01,100,Tiang,Langkap,1,45
32MR,32MR-03-01,400,Pohon,Bengang,1,108
32MR,32MR-03-01,400,Pohon,Bengang,1,300
32MR,32MR-03-01,400,Pohon,Ki beureum,1,67
32MR,32MR-03-01,400,Pohon,Tundun sayong,1,92
32MR,32MR-03-01,400,Pohon,Ki huut,1,116
32MR,32MR-03-01,400,Pohon,Purut,1,84
32MR,32MR-03-01,400,Pohon,Lame,1,201
32MR,32MR-03-02,4,TB-semai,Rotan,6,0
32MR,32MR-03-02,4,TB-semai,Ki calung,2,0
32MR,32MR-03-02,4,TB-semai,Ki huut,4,0
32MR,32MR-03-02,4,TB-semai,Ki endog,1,0
32MR,32MR-03-02,4,TB-semai,Ceuri,1,0
32MR,32MR-03-02,25,Pancang,Ki puak,4,0
32MR,32MR-03-02,25,Pancang,Taritih,2,0
32MR,32MR-03-02,25,Pancang,Heucit,3,0
32MR,32MR-03-02,25,Pancang,Lampeni gunung,2,0
32MR,32MR-03-02,100,Tiang,Purut,1,40
32MR,32MR-03-02,100,Tiang,Heucit,1,35
32MR,32MR-03-02,100,Tiang,Ki sampang,1,40
32MR,32MR-03-02,400,Pohon,Ipis Kulit,1,44
32MR,32MR-03-02,400,Pohon,Gadog,1,251
32MR,32MR-03-02,400,Pohon,Ki calung,1,200
32MR,32MR-03-02,400,Pohon,Ki kacang,1,298
32MR,32MR-03-02,400,Pohon,Ki segel,1,63
32MR,32MR-03-02,400,Pohon,Sigeung,1,255
32MR,32MR-03-03,4,TB-semai,Kaman,3,0
32MR,32MR-03-03,4,TB-semai,Bingbin,3,0
32MR,32MR-03-03,4,TB-semai,Papakuan,5,0
32MR,32MR-03-03,4,TB-semai,Salam,2,0
32MR,32MR-03-03,4,TB-semai,Ki mokla,4,0
32MR,32MR-03-03,4,TB-semai,Ki kacang,2,0
32MR,32MR-03-03,4,TB-semai,Taritih,1,0
32MR,32MR-03-03,25,Pancang,Ki kacang,2,0
32MR,32MR-03-03,25,Pancang,Ki puak,2,0
32MR,32MR-03-03,25,Pancang,Ki batok,1,0
32MR,32MR-03-03,100,Tiang,Ipis Kulit,1,48
32MR,32MR-03-03,100,Tiang,Peuris,1,33
32MR,32MR-03-03,100,Tiang,Ki kacang,1,48
32MR,32MR-03-03,100,Tiang,Langkap,1,42
32MR,32MR-03-03,100,Tiang,Langkap,1,40
32MR,32MR-03-03,100,Tiang,Langkap,1,43
32MR,32MR-03-03,400,Pohon,Ki kacang,1,80
32MR,32MR-03-03,400,Pohon,Ki beusi,1,120
32MR,32MR-03-03,400,Pohon,Ki kacang,1,303
32MR,32MR-03-03,400,Pohon,Sigeung,1,315
32MR,32MR-03-04,4,TB-semai,Lolo,2,0
32MR,32MR-03-04,4,TB-semai,Rotan,8,0
32MR,32MR-03-04,4,TB-semai,Ki geulam,4,0
32MR,32MR-03-04,4,TB-semai,Ki calung,1,0
32MR,32MR-03-04,4,TB-semai,Lampeni gunung,2,0
32MR,32MR-03-04,25,Pancang,Ki segel,3,0
32MR,32MR-03-04,25,Pancang,Salam,1,0
32MR,32MR-03-04,25,Pancang,Ipis Kulit,1,0
32MR,32MR-03-04,25,Pancang,Ki segel,40,0
32MR,32MR-03-04,100,Tiang,Ipis Kulit,1,32
32MR,32MR-03-04,100,Tiang,Taritih,1,54
32MR,32MR-03-04,100,Tiang,Taritih,1,47
32MR,32MR-03-04,100,Tiang,Ki segel,1,102
32MR,32MR-03-04,100,Tiang,Sigeung,1,399
32MR,32MR-03-04,100,Tiang,Taritih,1,66
32MR,32MR-03-04,100,Tiang,Ki batok,1,202
32MR,32MR-03-04,100,Tiang,Rengas,1,225
32MR,32MR-03-04,100,Tiang,Sigeung,1,250
32MR,32MR-03-05,4,TB-semai,Rotan,6,0
32MR,32MR-03-05,4,TB-semai,Areuy gadel,1,0
32MR,32MR-03-05,4,TB-semai,Heucit,3,0
32MR,32MR-03-05,4,TB-semai,Hantap heulang,1,0
32MR,32MR-03-05,4,TB-semai,Ki tanjung,2,0
32MR,32MR-03-05,4,TB-semai,Ki geulam,1,0
32MR,32MR-03-05,25,Pancang,Ki endog,2,0
32MR,32MR-03-05,25,Pancang,Songgom,2,0
32MR,32MR-03-05,25,Pancang,Ki huut,1,0
32MR,32MR-03-05,25,Pancang,Hantap,1,0
32MR,32MR-03-05,100,Tiang,Ki segel,1,37
32MR,32MR-03-05,100,Tiang,Ki caang,1,48
32MR,32MR-03-05,100,Tiang,Salam,1,30
32MR,32MR-03-05,400,Pohon,Ki batok,1,80
32MR,32MR-03-05,400,Pohon,Ki segel,1,86
32MR,32MR-03-05,400,Pohon,Ki calung,1,96
32MR,32MR-03-05,400,Pohon,Ki kacang,1,105
32MR,32MR-03-05,400,Pohon,Ki segel,1,74
32MR,32MR-03-05,400,Pohon,Ki calung,1,82
32MR,32MR-04-01,4,TB-semai,Lolo,2,0
32MR,32MR-04-01,4,TB-semai,Bingbin,5,0
32MR,32MR-04-01,4,TB-semai,Rotan,7,0
32MR,32MR-04-01,4,TB-semai,Jaura,2,0
32MR,32MR-04-01,4,TB-semai,Salam,5,0
32MR,32MR-04-01,25,Pancang,Heucit,3,0
32MR,32MR-04-01,25,Pancang,Ki batok,2,0
32MR,32MR-04-01,25,Pancang,Peuris,1,0
32MR,32MR-04-01,100,Tiang,Manglid,1,40
32MR,32MR-04-01,100,Tiang,Jaura,1,33
32MR,32MR-04-01,100,Tiang,Mara,1,42
32MR,32MR-04-01,100,Tiang,Ki mokla,1,43
32MR,32MR-04-01,100,Tiang,Ki batok,1,50
32MR,32MR-04-01,100,Tiang,Jaura,1,38
32MR,32MR-04-01,400,Pohon,Salam,1,350
32MR,32MR-04-01,400,Pohon,Ki batok,1,96
32MR,32MR-04-01,400,Pohon,Ipis Kulit,1,105
32MR,32MR-04-01,400,Pohon,Purut,1,210
32MR,32MR-04-02,4,TB-semai,Rotan,7,0
32MR,32MR-04-02,4,TB-semai,Ki caang,1,0
32MR,32MR-04-02,4,TB-semai,Ki mokla,1,0
32MR,32MR-04-02,4,TB-semai,Jaura,2,0
32MR,32MR-04-02,4,TB-semai,Lame peucang,2,0
32MR,32MR-04-02,25,Pancang,Ki batok,4,0
32MR,32MR-04-02,25,Pancang,Ki puak,2,0
32MR,32MR-04-02,25,Pancang,Heas,1,0
32MR,32MR-04-02,25,Pancang,Ipis Kulit,2,0
32MR,32MR-04-02,100,Tiang,Ki huut,1,40
32MR,32MR-04-02,100,Tiang,Ki mokla,1,40
32MR,32MR-04-02,100,Tiang,Bungur,1,42
32MR,32MR-04-02,100,Tiang,Ki calung,1,45
32MR,32MR-04-02,100,Tiang,Heas,1,34
32MR,32MR-04-02,100,Tiang,Ipis Kulit,1,40
32MR,32MR-04-02,100,Tiang,Ki calung,1,35
32MR,32MR-04-02,400,Pohon,Ki huut,1,152
32MR,32MR-04-02,400,Pohon,Ki calung,1,120
32MR,32MR-04-02,400,Pohon,Kepuh,1,400
32MR,32MR-04-02,400,Pohon,Bungur,1,200
32MR,32MR-04-03,4,TB-semai,Lolo,3,0
32MR,32MR-04-03,4,TB-semai,Rotan,6,0
32MR,32MR-04-03,4,TB-semai,Bengang,1,0
32MR,32MR-04-03,4,TB-semai,Ipis Kulit,3,0
32MR,32MR-04-03,4,TB-semai,Burung dahu,2,0
32MR,32MR-04-03,4,TB-semai,Jaura,2,0
32MR,32MR-04-03,4,TB-semai,Ki lalayu,1,0
32MR,32MR-04-03,25,Pancang,Ki batok,1,0
32MR,32MR-04-03,25,Pancang,Ki caang,1,0
32MR,32MR-04-03,25,Pancang,Salam,1,0
32MR,32MR-04-03,25,Pancang,Ki endog,2,0
32MR,32MR-04-03,25,Pancang,Lampeni gunung,3,0
32MR,32MR-04-03,100,Tiang,Ki beureum,1,42
32MR,32MR-04-03,100,Tiang,Ki beureum,1,35
32MR,32MR-04-03,400,Pohon,Sigeung,1,400
32MR,32MR-04-03,400,Pohon,Ki batok,1,120
32MR,32MR-04-03,400,Pohon,Bengang,1,70
32MR,32MR-04-03,400,Pohon,Ki batok,1,62
32MR,32MR-04-04,4,TB-semai,Rotan,8,0
32MR,32MR-04-04,4,TB-semai,Ki segel,3,0
32MR,32MR-04-04,4,TB-semai,Ipis Kulit,1,0
32MR,32MR-04-04,4,TB-semai,Jaura,2,0
32MR,32MR-04-04,25,Pancang,Ki segel,10,0
32MR,32MR-04-04,25,Pancang,Ki kacang,2,0
32MR,32MR-04-04,25,Pancang,Bengang,3,0
32MR,32MR-04-04,100,Tiang,Peuris,1,43
32MR,32MR-04-04,100,Tiang,Ki mokla,1,45
32MR,32MR-04-04,400,Pohon,Kepuh,1,210
32MR,32MR-04-04,400,Pohon,Ki geulam,1,370
32MR,32MR-04-04,400,Pohon,Ki calung,1,185
32MR,32MR-04-04,400,Pohon,Ki batok,1,142
32MR,32MR-04-05,4,TB-semai,Rotan,10,0
32MR,32MR-04-05,4,TB-semai,Hantap,4,0
32MR,32MR-04-05,4,TB-semai,Ki geulam,8,0
32MR,32MR-04-05,4,TB-semai,Jaura,1,0
32MR,32MR-04-05,25,Pancang,Ki segel,2,0
32MR,32MR-04-05,25,Pancang,Ki batok,4,0
32MR,32MR-04-05,25,Pancang,Ki kacang,1,0
32MR,32MR-04-05,25,Pancang,Songgom,1,0
32MR,32MR-04-05,100,Tiang,Ki segel,1,35
32MR,32MR-04-05,100,Tiang,Hareumeung,1,45
32MR,32MR-04-05,100,Tiang,Heas,1,46
32MR,32MR-04-05,100,Tiang,Purut,1,35
32MR,32MR-04-05,400,Pohon,Purut,1,200
32MR,32MR-04-05,400,Pohon,Salam,1,215
32MR,32MR-04-05,400,Pohon,Purut,1,105
32MR,32MR-04-05,400,Pohon,Padali,1,108
32MR,32MR-01-01,4,TB-semai,Areuy gadel,3,0
32MR,32MR-01-01,4,TB-semai,Bingbin,4,0
32MR,32MR-01-01,4,TB-semai,Ki jahe,1,0
32MR,32MR-01-01,4,TB-semai,Purancak gunung,1,0
32MR,32MR-01-01,4,TB-semai,Kanyere,1,0
32MR,32MR-01-01,4,TB-semai,Peuris,2,0
32MR,32MR-01-01,4,TB-semai,Heucit,1,0
32MR,32MR-01-01,25,Pancang,Huni,1,0
32MR,32MR-01-01,25,Pancang,Peuris,2,0
32MR,32MR-01-01,25,Pancang,Ki puak,3,0
32MR,32MR-01-01,25,Pancang,Jaura,2,0
32MR,32MR-01-01,400,Pohon,Purut,1,80
32MR,32MR-01-01,400,Pohon,Bengang,1,100
32MR,32MR-01-01,400,Pohon,Salam,1,250
32MR,32MR-01-02,4,TB-semai,Areuy gadel,2,0
32MR,32MR-01-02,4,TB-semai,Ki genteul,1,0
32MR,32MR-01-02,4,TB-semai,Ceuri,1,0
32MR,32MR-01-02,4,TB-semai,Ki tanjung,1,0
32MR,32MR-01-02,4,TB-semai,Hantap,1,0
32MR,32MR-01-02,25,Pancang,Ki mokla,2,0
32MR,32MR-01-02,25,Pancang,Ki genteul,1,0
32MR,32MR-01-02,25,Pancang,Burung dahu,1,0
32MR,32MR-01-02,25,Pancang,Ki huut,1,0
32MR,32MR-01-02,100,Tiang,Peuris,1,35
32MR,32MR-01-02,100,Tiang,Heucit,1,42
32MR,32MR-01-02,100,Tiang,Langkap,1,30
32MR,32MR-01-02,100,Tiang,Langkap,1,40
32MR,32MR-01-02,100,Tiang,Langkap,1,42
32MR,32MR-01-02,100,Tiang,Langkap,1,35
32MR,32MR-01-02,400,Pohon,Buluh,1,102
32MR,32MR-01-02,400,Pohon,Purut,1,100
32MR,32MR-01-02,400,Pohon,Ki batok,1,120
32MR,32MR-01-03,4,TB-semai,Lolo,4,0
32MR,32MR-01-03,4,TB-semai,Areuy gadel,5,0
32MR,32MR-01-03,4,TB-semai,Papakuan,3,0
32MR,32MR-01-03,4,TB-semai,Ki batok,8,0
32MR,32MR-01-03,4,TB-semai,Buluh,2,0
32MR,32MR-01-03,4,TB-semai,Lampeni ,1,0
32MR,32MR-01-03,25,Pancang,Bengang,2,0
32MR,32MR-01-03,25,Pancang,Ki sampang,1,0
32MR,32MR-01-03,25,Pancang,Lampeni gunung,2,0
32MR,32MR-01-03,25,Pancang,Ki mokla,1,0
32MR,32MR-01-03,100,Tiang,Calik angin,1,45
32MR,32MR-01-03,100,Tiang,Ki jahe,1,55
32MR,32MR-01-03,100,Tiang,Langkap,1,50
32MR,32MR-01-03,100,Tiang,Langkap,1,40
32MR,32MR-01-03,400,Pohon,Ki batok,1,120
32MR,32MR-01-03,400,Pohon,Hantap heulang,1,198
32MR,32MR-01-03,400,Pohon,Ki ganik,1,300
32MR,32MR-01-03,400,Pohon,Buluh,1,200
32MR,32MR-01-03,400,Pohon,Ki calung,1,120
32MR,32MR-01-04,4,TB-semai,Lolo,10,0
32MR,32MR-01-04,4,TB-semai,Rotan,1,0
32MR,32MR-01-04,4,TB-semai,Ki batok,3,0
32MR,32MR-01-04,4,TB-semai,Jaura,2,0
32MR,32MR-01-04,25,Pancang,Ki mokla,2,0
32MR,32MR-01-04,25,Pancang,Songgom,2,0
32MR,32MR-01-04,25,Pancang,Burung dahu,1,0
32MR,32MR-01-04,25,Pancang,Ki segel,3,0
32MR,32MR-01-04,25,Pancang,Bengang,1,0
32MR,32MR-01-04,100,Tiang,Ki sireum,1,40
32MR,32MR-01-04,100,Tiang,Ki lilin,1,35
32MR,32MR-01-04,100,Tiang,Langkap,1,35
32MR,32MR-01-04,100,Tiang,Langkap,1,38
32MR,32MR-01-04,100,Tiang,Heucit,1,40
32MR,32MR-01-04,100,Tiang,Heas,1,61
32MR,32MR-01-04,400,Pohon,Ki calung,1,260
32MR,32MR-01-04,400,Pohon,Heucit,1,68
32MR,32MR-01-04,400,Pohon,Manglid,1,150
32MR,32MR-01-05,4,TB-semai,Lolo,3,0
32MR,32MR-01-05,4,TB-semai,Areuy gadel,2,0
32MR,32MR-01-05,4,TB-semai,Ki genteul,4,0
32MR,32MR-01-05,4,TB-semai,Ki batok,2,0
32MR,32MR-01-05,4,TB-semai,Mara,2,0
32MR,32MR-01-05,25,Pancang,Manglid,1,0
32MR,32MR-01-05,25,Pancang,Ki batok,1,0
32MR,32MR-01-05,25,Pancang,Songgom,2,0
32MR,32MR-01-05,100,Tiang,Ki batok,1,45
32MR,32MR-01-05,100,Tiang,Langkap,1,35
32MR,32MR-01-05,100,Tiang,Langkap,1,42
32MR,32MR-01-05,100,Tiang,Bengang,1,40
32MR,32MR-01-05,100,Tiang,Ki batok,1,40
32MR,32MR-01-05,400,Pohon,Ki calung,1,150
32MR,32MR-01-05,400,Pohon,Ki batok,1,140
32MR,32MR-01-05,400,Pohon,Kepuh,1,200
86JJ,86JJ-02-01,4,TB-semai,Lolo,4,0
86JJ,86JJ-02-01,4,TB-semai,Patat,2,0
